Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Operativo;radiofrecuencia;63;1
Marketing;communications;1;1
Marketing;talkwalker;1;1
Operativo;terminado;17;2
Gestión de Calidad;terminado;3;2
Gastronomia;curso;4;9
SST;curso;1;9
Salud;curso;14;9
Logistica;curso;1;9
Talento TI;curso;5;9
Construcción;curso;3;9
Servicio al cliente;curso;1;9
Educación;curso;1;9
Operativo;curso;104;9
Ventas - Comercial - Administración;inmobiliarios;1;2
Project Manager;inmobiliarios;2;2
Operativo;toc;8;1
Servicio al cliente;atendimento;1;1
Financiero;televenta;1;1
Operativo;personas;4;7
Practicantes - Aprendices;personas;1;7
Servicio al cliente;personas;6;7
Ventas - Comercial - Administración;personas;11;7
Financiero;personas;2;7
Contaduria;personas;1;7
Talento TI;personas;1;7
Talento TI;empaquesingeniero;1;1
Ventas - Comercial - Administración;comercialgpbarranquilla;1;1
Ventas - Comercial - Administración;hino;5;1
Operativo;vademecum;1;1
Ventas - Comercial - Administración;cajera;8;5
Servicio al cliente;cajera;1;5
Financiero;cajera;1;5
Operativo;cajera;8;5
Contaduria;cajera;2;5
Salud;abuso;1;1
Operativo;hb;2;1
Operativo;interpretar;3;1
Operativo;abastos;1;1
Operativo;carton;3;1
Educación;arte;2;2
Project Manager;arte;2;2
Educación;bachillerato;5;1
Operativo;crc;1;1
Gastronomia;pizzas;1;1
Operativo;inventarios;20;8
Practicantes - Aprendices;inventarios;3;8
Logistica;inventarios;169;8
Compras;inventarios;10;8
Contaduria;inventarios;5;8
Ventas - Comercial - Administración;inventarios;3;8
Talento TI;inventarios;1;8
Servicio al cliente;inventarios;2;8
Practicantes - Aprendices;equipos;3;9
Marketing;equipos;1;9
Construcción;equipos;16;9
Salud;equipos;7;9
Gestión de Calidad;equipos;9;9
Servicio al cliente;equipos;3;9
Operativo;equipos;21;9
Ventas - Comercial - Administración;equipos;35;9
Talento TI;equipos;13;9
Psicologia;psicologosvisitadores;1;1
Operativo;robots;1;1
Servicio al cliente;realizaran;1;1
Salud;vasculares;1;1
Ventas - Comercial - Administración;migracion;15;1
Operativo;laboratorios;13;4
Gestión de Calidad;laboratorios;2;4
Ventas - Comercial - Administración;laboratorios;1;4
Contaduria;laboratorios;1;4
Compras;abastesimiento;1;1
Operativo;bosconia;1;2
Agropecuario;bosconia;1;2
Operativo;fresco;1;1
Ventas - Comercial - Administración;soluciones;1;6
Talento TI;soluciones;11;6
Marketing;soluciones;3;6
Operativo;soluciones;3;6
Construcción;soluciones;1;6
Project Manager;soluciones;5;6
Gestión de Calidad;coordinado;1;1
Logistica;asociado;1;2
Operativo;asociado;1;2
